# input	kind	canonical	formatted
# A hex literal cannot start a row: '#' opens a comment in a corpus file, so
# "#3b82f6 in oklch" would be read as prose and silently assert nothing. Rows
# that would lead with one are parenthesised — "(#3b82f6) in oklch" — which is
# the same expression and is not a comment. Rows that lead with a notation, a
# keyword or a number need no such help.
#
# No 'of' keyword in the Japanese language table, so no channel-read rows: the
# operator would have nothing to be spelled as. Same for ko, zh, tr and hi.
(#3b82f6) を oklch	color	998438655	oklch(0.62308 0.18801 259.8145)
(#3b82f6) を hsl	color	998438655	hsl(217.2193 91.2195% 59.8039%)
(#3b82f6) を p3	color	998438655	color(display-p3 0.30473 0.50347 0.93383)
(#3b82f6) を lab	color	998438655	lab(54.6189 8.7628 -65.7907)
(#3b82f6) を xyz	color	998438655	color(xyz-d65 0.26419 0.23548 0.90345)
(#3b82f680) を hex	color	998438528	#3b82f680
(#fff) を hex	color	4294967295	#ffffff
rgb(59 130 246) を hex	color	998438655	#3b82f6
oklch(0.6 0.2 250) を hex	color	8516095	#0081f1
hsl(200 100% 50%) を hex	color	11206655	#00aaff
hwb(90 20% 10%) を hex	color	2363896831	#8ce633
rgb 255 60 128 を hex	color	4282155263	#ff3c80
rgb 255 60 128 / 50% を hex	color	4282155136	#ff3c8080
oklch 0.6 0.2 250 を hex	color	8516095	#0081f1
hsl 200 100% 50% を hex	color	11206655	#00aaff
p3 1 0 0 を hex	color	4278190335	#ff0000
rec2020 0.934 0.99 0.458 を hex	color	4009715455	#eeff66
rebeccapurple を hex	color	1714657791	#663399
rebeccapurple を oklch	color	1714657791	oklch(0.44027 0.1603 303.373)
(#440000 + #004400) を hex	color	1145307391	#444400
(#ffff00 - #00ff00) を hex	color	4278190335	#ff0000
(#808080 * 2) を hex	color	4294967295	#ffffff
2 * rgb(64 64 64) を hex	color	2155905279	#808080
100 色相 100 彩度 50 明るさ を hex	color	713031935	#2a8000
255 赤 0 緑 0 青 を hex	color	4278190335	#ff0000
0 色相 100 彩度 50 明度 を hex	color	4278190335	#ff0000
